                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81248,                 2.4631,                 1.1346,                0.78665,                 5.0038,                 1.0893,                0.00541,                0.84321,                0.34571,                0.28704,                 0.6386,                 2.9662,                0.99347,                0.64922,                 7.2722,                0.98316,                0.00032,                0.00032,                0.00032
                      2,                0.58662,                 1.1832,                0.96291,                0.62438,                 3.7001,                0.95359,                0.00257,                 0.4007,                0.00228,                0.00083,                 1.8524,                 3.8882,                 2.1587,                 1.8919,                 9.4716,                 1.8824,             0.00063822,             0.00063822,             0.00063822
                      3,                0.59807,                 1.0054,                0.96157,                0.68464,                 3.1424,                0.97142,                      1,                0.15124,                0.50881,                0.42319,                 0.7466,                 2.2219,                 1.1428,                0.78642,                 6.5996,                 1.0978,               0.000934,               0.000934,               0.000934
                      4,                0.57538,                0.94455,                0.95137,                0.69176,                  2.789,                0.97683,                0.93239,                0.04809,                0.26327,                0.20665,                0.68064,                  2.679,                 1.0246,                0.65197,                 6.3109,                 1.0195,              0.0012073,              0.0012073,              0.0012073
                      5,                0.56508,                 0.9023,                0.94468,                0.69526,                 2.3985,                0.97062,                0.92857,                0.04529,                0.14946,                0.09114,                  2.168,                 3.2116,                  2.079,                 2.0139,                 6.9012,                 1.9978,              0.0014582,              0.0014582,              0.0014582
                      6,                 0.5234,                0.81799,                0.93698,                0.65494,                 2.0343,                 0.9742,                0.38003,                0.01711,                0.01416,                0.00711,                 3.3145,                 4.5213,                 4.3451,                 3.1342,                 6.1322,                 4.1555,                0.00167,                0.00167,                0.00167
                      7,                0.57453,                0.82344,                0.95475,                0.73595,                 1.7886,                0.99025,                0.23049,                0.00697,                 0.0131,                0.00401,                 3.2655,                 4.2005,                 4.8549,                  2.973,                 5.6791,                 4.7492,                0.00167,                0.00167,                0.00167
                      8,                0.53376,                0.72624,                0.93102,                0.68313,                  1.496,                 0.9654,                0.50603,                0.46341,                0.43652,                0.31438,                0.82362,                  1.621,                 1.0944,                0.90213,                 3.2985,                 1.1271,               0.001604,               0.001604,               0.001604
                      9,                0.50513,                0.67972,                0.92195,                0.64628,                 1.2887,                 0.9559,                0.59199,                0.71789,                0.64456,                0.51683,                 0.6394,                  1.284,                 1.0093,                0.75183,                 2.2553,                 1.0494,               0.001538,               0.001538,               0.001538
                     10,                0.49501,                0.61611,                0.90908,                 0.6277,                 1.0871,                0.93597,                0.80175,                0.73868,                 0.8372,                0.66398,                0.67262,                 1.1451,                0.99575,                0.80764,                 1.7884,                 1.0449,               0.001472,               0.001472,               0.001472
                     11,                0.46221,                0.56066,                0.90303,                 0.5917,                 0.9673,                0.92802,                0.76671,                0.79443,                0.83762,                 0.6856,                 0.5918,                 0.8271,                0.93982,                0.71728,                 1.5916,                 1.0151,               0.001406,               0.001406,               0.001406
                     12,                 0.4508,                0.54831,                0.89572,                0.58326,                0.89019,                0.91833,                0.83895,                0.79863,                0.88567,                0.75912,                0.45892,                0.68133,                0.86812,                0.57494,                 1.3591,                0.88771,                0.00134,                0.00134,                0.00134
